BOROUGH,SCHOOL_NAME,NEIGHBORHOOD,INTEREST,METHOD,TOTAL_STUDENTS,GRADUATION_RATE,ATTENDANCE_RATE,COLLEGE_CAREER_RATE,SAFE,SEATS,APPLICANTS,LANGUAGE_CLASSES,ADVANCED_PLACEMENT_COURSES,SCHOOL_SPORTS
Yogyakarta,SMA Labschool Bandung,Surabaya,Science & Math,Screened,1734,97,95,85,89,133.0,5462.0,Bahasa Inggris,Biologi,"Basket, Renang"
DKI Jakarta,SMA Plus Nusantara,Denpasar,Science & Math,Screened: Language,269,52,86,43,82,90.0,143.0,Bahasa Mandarin,Bahasa Inggris,"Renang, Bulu Tangkis"
Yogyakarta,SMA Negeri 2 Bandung,Jakarta Selatan,Law & Government,Screened,498,80,89,63,64,134.0,549.0,Bahasa Jerman,"Bahasa Inggris, Kimia",Futsal
Yogyakarta,SMA Negeri 2 Bandung,Bandung,Humanities & Interdisciplinary,Transfer,217,0,66,0,91,25.0,7.0,Bahasa Arab,"Ekonomi, Fisika","Bulu Tangkis, Futsal"
Jawa Barat,SMA Negeri 3 Sleman,Bandung,Humanities & Interdisciplinary,Screened,457,98,93,91,95,98.0,3861.0,Bahasa Inggris,"Ekonomi, Bahasa Inggris, Matematika Lanjutan",Renang
Jawa Timur,SMK Informatika Nusantara,Denpasar,Computer Science & Technology,Screened,465,0,92,0,85,64.0,437.0,Bahasa Arab,"Matematika Lanjutan, Biologi, Kimia",Pencak Silat
Jawa Barat,SMA Labschool Bandung,Surabaya,Computer Science & Technology,Ed. Opt.,592,81,93,68,83,89.0,855.0,Bahasa Inggris,Ekonomi,"Basket, Renang"
DKI Jakarta,SMK Informatika Nusantara,Denpasar,Humanities & Interdisciplinary,Open,4058,90,92,81,80,330.0,559.0,Bahasa Arab,Fisika,Renang
Jawa Timur,SMA Negeri 2 Bandung,Surabaya,Humanities & Interdisciplinary,Screened: Language,335,63,83,15,69,64.0,134.0,Bahasa Jerman,Biologi,"Bulu Tangkis, Pencak Silat"
Jawa Timur,SMK Teknologi Surabaya,Surabaya,Science & Math,Ed. Opt.,466,71,83,0,67,85.0,679.0,Bahasa Mandarin,"Fisika, Ekonomi","Renang, Bulu Tangkis"
DKI Jakarta,SMK Pariwisata Bali,Jakarta Selatan,Computer Science & Technology,Screened: Language,684,92,90,0,91,23.0,242.0,Bahasa Jepang,"Kimia, Matematika Lanjutan, Bahasa Inggris",Futsal
Yogyakarta,SMA Negeri 5 Jakarta,Jakarta Selatan,Humanities & Interdisciplinary,Screened,450,100,94,90,94,103.0,3122.0,Bahasa Jepang,"Kimia, Fisika",Pencak Silat
Bali,SMK Pariwisata Bali,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,531,93,91,0,63,63.0,127.0,Bahasa Arab,"Kimia, Fisika, Bahasa Inggris","Renang, Basket"
Yogyakarta,SMA Negeri 2 Bandung,Surabaya,Engineering,Screened,2084,97,97,68,91,209.0,2380.0,Bahasa Jerman,Kimia,Renang
Jawa Timur,SMA Negeri 5 Jakarta,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,255,77,84,64,89,79.0,495.0,Bahasa Mandarin,Bahasa Inggris,"Bulu Tangkis, Basket"
Bali,SMA Negeri 5 Jakarta,Surabaya,Computer Science & Technology,Ed. Opt.,403,74,88,48,89,89.0,568.0,Bahasa Jepang,"Matematika Lanjutan, Bahasa Inggris, Kimia",Basket
Jawa Barat,SMK Teknologi Surabaya,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,348,65,81,36,85,83.0,256.0,Bahasa Jerman,"Matematika Lanjutan, Fisika, Biologi",Renang
Yogyakarta,SMA Negeri 3 Sleman,Bandung,Humanities & Interdisciplinary,Ed. Opt.,556,93,90,81,86,67.0,378.0,Bahasa Arab,"Kimia, Fisika","Basket, Pencak Silat"
Bali,SMA Plus Nusantara,Sleman,Law & Government,Screened,844,92,88,80,83,50.0,1356.0,Bahasa Jepang,"Bahasa Inggris, Ekonomi, Kimia",Bulu Tangkis
Jawa Timur,SMK Pariwisata Bali,Surabaya,Humanities & Interdisciplinary,For Continuing 8th Graders,511,74,87,64,71,,,Bahasa Jerman,Biologi,"Pencak Silat, Basket"
Jawa Timur,SMA Negeri 3 Sleman,Denpasar,Humanities & Interdisciplinary,Ed. Opt.,467,84,85,53,92,90.0,628.0,Bahasa Arab,"Matematika Lanjutan, Biologi, Kimia",Basket
DKI Jakarta,SMA Plus Nusantara,Sleman,Humanities & Interdisciplinary,Ed. Opt.,342,72,90,32,70,85.0,739.0,Bahasa Jepang,Biologi,"Pencak Silat, Bulu Tangkis"
DKI Jakarta,SMA Negeri 3 Sleman,Denpasar,Humanities & Interdisciplinary,Ed. Opt.,399,60,81,41,71,98.0,433.0,Bahasa Jepang,"Fisika, Ekonomi, Biologi",Pencak Silat
Yogyakarta,SMK Teknologi Surabaya,Bandung,Humanities & Interdisciplinary,Ed. Opt.,251,69,89,51,90,89.0,298.0,Bahasa Mandarin,"Ekonomi, Bahasa Inggris",Basket
Yogyakarta,SMK Informatika Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,654,64,87,66,76,82.0,654.0,Bahasa Inggris,"Fisika, Biologi","Basket, Futsal"
Bali,SMA Negeri 5 Jakarta,Sleman,Humanities & Interdisciplinary,Screened,563,96,94,84,87,68.0,529.0,Bahasa Arab,"Matematika Lanjutan, Ekonomi, Fisika",Basket
Jawa Barat,SMA Labschool Bandung,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,512,92,86,69,80,110.0,1200.0,Bahasa Arab,"Kimia, Bahasa Inggris, Matematika Lanjutan",Basket
Jawa Barat,SMA Plus Nusantara,Denpasar,Architecture,Open,566,95,91,56,96,124.0,1197.0,Bahasa Mandarin,Biologi,Renang
Yogyakarta,SMK Pariwisata Bali,Surabaya,"Hospitality, Travel, & Tourism",Ed. Opt.,305,55,77,42,81,106.0,184.0,Bahasa Jerman,Biologi,Basket
Yogyakarta,SMA Plus Nusantara,Sleman,Performing Arts/Visual Art & Design,Open,480,79,88,39,80,45.0,256.0,Bahasa Inggris,"Biologi, Kimia","Renang, Bulu Tangkis"
Bali,SMA Negeri 5 Jakarta,Bandung,Law & Government,Ed. Opt.,3699,91,92,77,81,130.0,3714.0,Bahasa Inggris,"Bahasa Inggris, Biologi, Fisika","Pencak Silat, Bulu Tangkis"
DKI Jakarta,SMA Negeri 5 Jakarta,Sleman,Humanities & Interdisciplinary,Screened,496,95,88,68,85,62.0,489.0,Bahasa Jepang,Fisika,Bulu Tangkis
DKI Jakarta,SMA Negeri 2 Bandung,Bandung,Science & Math,Screened,481,100,94,97,94,67.0,1052.0,Bahasa Arab,"Biologi, Fisika","Renang, Pencak Silat"
Jawa Barat,SMK Teknologi Surabaya,Jakarta Selatan,Performing Arts,Audition,608,73,85,65,83,27.0,87.0,Bahasa Jerman,"Kimia, Matematika Lanjutan",Renang
DKI Jakarta,SMK Teknologi Surabaya,Sleman,Humanities & Interdisciplinary,Ed. Opt.,473,68,80,37,88,86.0,408.0,Bahasa Mandarin,"Kimia, Matematika Lanjutan",Futsal
Yogyakarta,SMA Negeri 5 Jakarta,Surabaya,Business,Ed. Opt.,598,94,93,77,90,104.0,1701.0,Bahasa Arab,"Fisika, Ekonomi",Renang
Jawa Barat,SMA Plus Nusantara,Bandung,Humanities & Interdisciplinary,Screened,1380,100,96,87,96,290.0,6072.0,Bahasa Arab,Biologi,Pencak Silat
Yogyakarta,SMA Labschool Bandung,Denpasar,Law & Government,Ed. Opt.,449,91,91,76,84,95.0,1383.0,Bahasa Jerman,Matematika Lanjutan,"Futsal, Basket"
Jawa Timur,SMA Labschool Bandung,Denpasar,Performing Arts,Ed. Opt.,454,68,86,45,67,100.0,310.0,Bahasa Jepang,"Matematika Lanjutan, Ekonomi",Bulu Tangkis
Jawa Barat,SMK Teknologi Surabaya,Sleman,Health Professions,Screened,433,91,93,83,75,64.0,1683.0,Bahasa Jepang,"Ekonomi, Kimia, Biologi","Futsal, Pencak Silat"
DKI Jakarta,SMA Negeri 5 Jakarta,Bandung,Architecture,Open,311,83,84,43,92,90.0,200.0,Bahasa Jerman,"Kimia, Fisika","Renang, Pencak Silat"
Jawa Timur,SMA Plus Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Screened,2281,71,86,45,75,57.0,138.0,Bahasa Mandarin,Biologi,Bulu Tangkis
Yogyakarta,SMK Informatika Nusantara,Surabaya,Business,Ed. Opt.,738,90,88,82,83,166.0,1226.0,Bahasa Mandarin,"Bahasa Inggris, Ekonomi, Biologi","Basket, Futsal"
Jawa Barat,SMK Informatika Nusantara,Sleman,Architecture,Ed. Opt.,356,59,83,47,82,90.0,269.0,Bahasa Jerman,"Ekonomi, Kimia",Renang
Jawa Barat,SMA Negeri 3 Sleman,Surabaya,Engineering,Ed. Opt.,511,93,94,0,85,83.0,1186.0,Bahasa Mandarin,"Kimia, Matematika Lanjutan","Renang, Basket"
DKI Jakarta,SMK Informatika Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Screened: Language,363,73,87,51,82,85.0,226.0,Bahasa Arab,"Bahasa Inggris, Kimia, Ekonomi","Renang, Basket"
Jawa Timur,SMA Labschool Bandung,Sleman,Humanities & Interdisciplinary,For Continuing 8th Graders,659,96,92,58,95,,,Bahasa Inggris,Matematika Lanjutan,"Futsal, Renang"
Yogyakarta,SMA Negeri 2 Bandung,Jakarta Selatan,Humanities & Interdisciplinary,Screened,622,98,95,95,96,132.0,2412.0,Bahasa Jerman,Fisika,Pencak Silat
DKI Jakarta,SMA Negeri 2 Bandung,Bandung,Environmental Science,Ed. Opt.,639,67,86,54,82,89.0,241.0,Bahasa Jerman,Bahasa Inggris,Renang
Jawa Timur,SMA Plus Nusantara,Denpasar,Health Professions,Ed. Opt.,294,73,88,41,80,66.0,405.0,Bahasa Inggris,Matematika Lanjutan,Pencak Silat
Bali,SMK Pariwisata Bali,Bandung,Visual Art & Design,Audition,1590,93,91,79,86,170.0,520.0,Bahasa Arab,"Kimia, Matematika Lanjutan, Bahasa Inggris","Futsal, Renang"
Yogyakarta,SMK Informatika Nusantara,Surabaya,Project-Based Learning,Screened: Language,527,83,92,80,98,92.0,586.0,Bahasa Mandarin,Fisika,Renang
Yogyakarta,SMA Negeri 1 Jakarta,Jakarta Selatan,Performing Arts,Audition,478,97,93,75,91,22.0,229.0,Bahasa Jerman,"Biologi, Ekonomi","Basket, Renang"
DKI Jakarta,SMA Plus Nusantara,Denpasar,Computer Science & Technology,Ed. Opt.,445,87,89,72,91,90.0,1575.0,Bahasa Arab,"Bahasa Inggris, Matematika Lanjutan, Biologi",Basket
Jawa Barat,SMA Negeri 2 Bandung,Denpasar,Humanities & Interdisciplinary,Screened,1513,92,92,71,81,126.0,1210.0,Bahasa Arab,"Biologi, Ekonomi",Renang
Jawa Barat,SMA Negeri 2 Bandung,Bandung,Humanities & Interdisciplinary,Ed. Opt.,1194,80,85,67,84,226.0,1836.0,Bahasa Arab,Biologi,Pencak Silat
Yogyakarta,SMA Negeri 2 Bandung,Denpasar,Humanities & Interdisciplinary,Ed. Opt.,376,67,87,0,67,85.0,322.0,Bahasa Jerman,Biologi,Renang
Jawa Barat,SMK Informatika Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Open,495,99,95,92,95,96.0,1028.0,Bahasa Jepang,"Ekonomi, Fisika, Biologi","Basket, Pencak Silat"
Jawa Timur,SMA Labschool Bandung,Bandung,Humanities & Interdisciplinary,Ed. Opt.,496,65,81,40,81,67.0,206.0,Bahasa Inggris,"Ekonomi, Fisika, Bahasa Inggris","Basket, Bulu Tangkis"
Jawa Barat,SMA Negeri 2 Bandung,Sleman,Science & Math,Test,5838,98,96,95,95,,,Bahasa Mandarin,"Kimia, Biologi","Basket, Pencak Silat"
Jawa Barat,SMA Negeri 2 Bandung,Denpasar,Project-Based Learning,Ed. Opt.,401,73,84,46,89,97.0,415.0,Bahasa Inggris,"Biologi, Kimia, Fisika",Bulu Tangkis
DKI Jakarta,SMA Negeri 3 Sleman,Denpasar,Humanities & Interdisciplinary,Open,381,97,93,64,86,124.0,758.0,Bahasa Arab,Bahasa Inggris,"Renang, Pencak Silat"
DKI Jakarta,SMA Negeri 3 Sleman,Denpasar,Computer Science & Technology,Ed. Opt.,1775,63,83,43,79,83.0,332.0,Bahasa Arab,"Fisika, Bahasa Inggris","Basket, Renang"
Jawa Barat,SMA Negeri 5 Jakarta,Sleman,Computer Science & Technology,Ed. Opt.,3061,68,89,51,82,84.0,796.0,Bahasa Inggris,Bahasa Inggris,Futsal
Bali,SMA Negeri 5 Jakarta,Surabaya,Science & Math,Ed. Opt.,415,70,83,52,71,90.0,230.0,Bahasa Mandarin,Kimia,"Bulu Tangkis, Renang"
DKI Jakarta,SMA Negeri 2 Bandung,Jakarta Selatan,Humanities & Interdisciplinary,Open,590,85,80,43,80,64.0,257.0,Bahasa Arab,"Biologi, Kimia, Matematika Lanjutan","Bulu Tangkis, Pencak Silat"
Jawa Barat,SMA Negeri 1 Jakarta,Sleman,Engineering,Ed. Opt.,399,72,81,18,79,56.0,197.0,Bahasa Jepang,"Ekonomi, Kimia","Bulu Tangkis, Pencak Silat"
Bali,SMA Negeri 5 Jakarta,Denpasar,Computer Science & Technology,Ed. Opt.,732,59,83,35,67,94.0,761.0,Bahasa Inggris,"Bahasa Inggris, Kimia, Fisika","Futsal, Renang"
Bali,SMK Teknologi Surabaya,Bandung,Humanities & Interdisciplinary,Ed. Opt.,478,0,92,0,88,48.0,379.0,Bahasa Jerman,"Matematika Lanjutan, Fisika","Renang, Basket"
Bali,SMA Plus Nusantara,Sleman,Humanities & Interdisciplinary,Ed. Opt.,1038,93,94,72,89,57.0,2122.0,Bahasa Jerman,Ekonomi,Basket
Yogyakarta,SMA Negeri 1 Jakarta,Surabaya,Health Professions,Ed. Opt.,639,73,86,32,81,50.0,290.0,Bahasa Mandarin,"Bahasa Inggris, Matematika Lanjutan","Bulu Tangkis, Futsal"
Jawa Barat,SMK Informatika Nusantara,Bandung,Science & Math,Ed. Opt.,1203,50,84,34,68,118.0,532.0,Bahasa Jerman,"Ekonomi, Bahasa Inggris, Matematika Lanjutan",Basket
Jawa Timur,SMA Negeri 1 Jakarta,Surabaya,Humanities & Interdisciplinary,Open,390,0,89,0,93,68.0,479.0,Bahasa Inggris,"Fisika, Matematika Lanjutan, Kimia","Futsal, Pencak Silat"
Jawa Barat,SMA Negeri 3 Sleman,Bandung,Humanities & Interdisciplinary,Screened,683,92,94,77,94,72.0,1263.0,Bahasa Mandarin,"Ekonomi, Fisika, Matematika Lanjutan",Pencak Silat
Yogyakarta,SMK Informatika Nusantara,Bandung,Science & Math,Ed. Opt.,480,78,87,62,77,67.0,237.0,Bahasa Arab,Matematika Lanjutan,"Futsal, Renang"
Jawa Timur,SMA Labschool Bandung,Jakarta Selatan,Business,Ed. Opt.,232,75,83,49,81,50.0,118.0,Bahasa Jerman,"Kimia, Fisika","Renang, Pencak Silat"
Bali,SMA Negeri 3 Sleman,Denpasar,Performing Arts,Audition,427,95,91,70,87,35.0,237.0,Bahasa Mandarin,Ekonomi,Pencak Silat
Bali,SMA Negeri 1 Jakarta,Jakarta Selatan,Humanities & Interdisciplinary,Screened: Language,449,90,92,35,94,90.0,158.0,Bahasa Mandarin,Ekonomi,"Basket, Pencak Silat"
Jawa Barat,SMA Labschool Bandung,Bandung,"Hospitality, Travel, & Tourism",Ed. Opt.,391,70,82,54,88,90.0,466.0,Bahasa Jerman,"Fisika, Kimia","Bulu Tangkis, Basket"
Yogyakarta,SMA Plus Nusantara,Bandung,Humanities & Interdisciplinary,Ed. Opt.,424,73,76,34,83,85.0,345.0,Bahasa Jepang,"Bahasa Inggris, Ekonomi, Fisika",Basket
Yogyakarta,SMK Informatika Nusantara,Surabaya,Visual Art & Design,Ed. Opt.,504,74,82,34,70,60.0,885.0,Bahasa Jepang,"Bahasa Inggris, Matematika Lanjutan",Basket
DKI Jakarta,SMA Plus Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Screened: Language,911,77,89,55,88,68.0,188.0,Bahasa Arab,Ekonomi,Basket
Jawa Timur,SMK Informatika Nusantara,Surabaya,Visual Art & Design,Ed. Opt.,441,66,84,38,81,42.0,705.0,Bahasa Mandarin,"Ekonomi, Bahasa Inggris, Biologi",Basket
Jawa Barat,SMK Pariwisata Bali,Bandung,Film/Video,Ed. Opt.,588,90,85,59,83,68.0,232.0,Bahasa Jerman,"Ekonomi, Biologi",Basket
DKI Jakarta,SMA Negeri 1 Jakarta,Surabaya,Performing Arts/Visual Art & Design,Ed. Opt.,425,77,82,53,87,124.0,469.0,Bahasa Mandarin,"Fisika, Biologi","Bulu Tangkis, Renang"
Jawa Barat,SMA Plus Nusantara,Surabaya,Science & Math,Ed. Opt.,435,97,93,73,98,51.0,1164.0,Bahasa Arab,Kimia,"Basket, Pencak Silat"
DKI Jakarta,SMA Negeri 2 Bandung,Denpasar,Health Professions,Ed. Opt.,491,49,77,53,88,118.0,468.0,Bahasa Jepang,"Ekonomi, Matematika Lanjutan","Bulu Tangkis, Futsal"
Jawa Barat,SMA Negeri 2 Bandung,Sleman,Visual Art & Design,Audition,491,81,84,57,73,53.0,398.0,Bahasa Mandarin,Bahasa Inggris,"Pencak Silat, Basket"
Bali,SMK Informatika Nusantara,Sleman,Visual Art & Design,Audition,867,85,92,64,87,67.0,583.0,Bahasa Arab,Fisika,Pencak Silat
Jawa Timur,SMK Informatika Nusantara,Denpasar,Visual Art & Design,Ed. Opt.,812,90,92,68,95,159.0,2098.0,Bahasa Inggris,Bahasa Inggris,"Basket, Futsal"
Jawa Barat,SMA Negeri 1 Jakarta,Sleman,Performing Arts/Visual Art & Design,Ed. Opt.,250,69,80,49,71,61.0,92.0,Bahasa Mandarin,"Matematika Lanjutan, Bahasa Inggris, Fisika",Basket
Bali,SMK Informatika Nusantara,Bandung,Engineering,Ed. Opt.,439,87,89,77,0,89.0,1546.0,Bahasa Jerman,"Matematika Lanjutan, Fisika",Basket
Bali,SMK Teknologi Surabaya,Sleman,Humanities & Interdisciplinary,Ed. Opt.,317,0,79,0,90,75.0,267.0,Bahasa Arab,"Biologi, Fisika",Futsal
Jawa Timur,SMK Informatika Nusantara,Denpasar,Computer Science & Technology,Screened: Language & Academics,517,85,92,78,90,50.0,524.0,Bahasa Jerman,"Fisika, Kimia, Biologi",Futsal
Bali,SMA Negeri 2 Bandung,Surabaya,Culinary Arts,Ed. Opt.,378,91,90,67,77,90.0,1389.0,Bahasa Arab,"Kimia, Ekonomi, Bahasa Inggris",Pencak Silat
DKI Jakarta,SMA Negeri 2 Bandung,Surabaya,Law & Government,Ed. Opt.,278,58,81,33,81,89.0,119.0,Bahasa Inggris,"Fisika, Ekonomi, Kimia","Bulu Tangkis, Futsal"
Jawa Timur,SMA Plus Nusantara,Jakarta Selatan,Law & Government,Ed. Opt.,466,73,84,63,79,116.0,1070.0,Bahasa Mandarin,Matematika Lanjutan,Basket
DKI Jakarta,SMK Informatika Nusantara,Denpasar,Performing Arts,Open,404,60,80,39,77,64.0,116.0,Bahasa Arab,Fisika,Bulu Tangkis
DKI Jakarta,SMK Informatika Nusantara,Jakarta Selatan,Architecture,Ed. Opt.,394,83,87,0,86,90.0,420.0,Bahasa Mandarin,Biologi,Renang
Jawa Timur,SMK Informatika Nusantara,Bandung,Performing Arts/Visual Art & Design,Ed. Opt.,266,68,84,33,85,85.0,403.0,Bahasa Arab,"Bahasa Inggris, Kimia",Basket
Yogyakarta,SMA Negeri 1 Jakarta,Denpasar,Visual Art & Design,Audition,1546,84,90,62,82,23.0,274.0,Bahasa Arab,"Biologi, Matematika Lanjutan, Fisika","Bulu Tangkis, Basket"
Bali,SMA Labschool Bandung,Bandung,Visual Art & Design,Ed. Opt.,427,92,86,58,92,104.0,870.0,Bahasa Mandarin,Matematika Lanjutan,"Basket, Futsal"
Jawa Timur,SMK Pariwisata Bali,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,353,86,89,43,79,67.0,135.0,Bahasa Mandarin,"Matematika Lanjutan, Ekonomi",Basket
Bali,SMA Negeri 2 Bandung,Sleman,Science & Math,Test,3336,98,97,98,97,,,Bahasa Arab,"Fisika, Matematika Lanjutan, Ekonomi",Basket
Jawa Timur,SMK Informatika Nusantara,Denpasar,JROTC,Ed. Opt.,3808,89,91,62,81,27.0,192.0,Bahasa Arab,"Fisika, Matematika Lanjutan, Bahasa Inggris",Renang
Jawa Barat,SMA Plus Nusantara,Bandung,Humanities & Interdisciplinary,Ed. Opt.,199,50,80,29,88,85.0,249.0,Bahasa Mandarin,"Kimia, Fisika","Pencak Silat, Futsal"
Jawa Barat,SMA Labschool Bandung,Surabaya,Performing Arts,Ed. Opt.,446,75,86,33,70,42.0,220.0,Bahasa Arab,"Ekonomi, Biologi",Pencak Silat
Jawa Timur,SMA Plus Nusantara,Sleman,Law & Government,Ed. Opt.,380,77,80,40,65,85.0,396.0,Bahasa Mandarin,Fisika,"Renang, Bulu Tangkis"
DKI Jakarta,SMA Negeri 1 Jakarta,Jakarta Selatan,Performing Arts/Visual Art & Design,Ed. Opt.,329,81,88,58,86,62.0,670.0,Bahasa Inggris,"Ekonomi, Kimia, Bahasa Inggris",Futsal
Yogyakarta,SMA Labschool Bandung,Surabaya,Teaching,Ed. Opt.,193,74,80,54,83,103.0,159.0,Bahasa Jepang,"Ekonomi, Kimia","Renang, Pencak Silat"
Bali,SMA Negeri 1 Jakarta,Bandung,Science & Math,Ed. Opt.,476,80,86,60,67,93.0,761.0,Bahasa Jerman,"Bahasa Inggris, Ekonomi","Pencak Silat, Futsal"
DKI Jakarta,SMA Negeri 2 Bandung,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,329,0,84,0,88,78.0,286.0,Bahasa Jepang,"Bahasa Inggris, Ekonomi, Kimia",Futsal
Bali,SMK Informatika Nusantara,Denpasar,Humanities & Interdisciplinary,Ed. Opt.,254,43,76,29,82,64.0,242.0,Bahasa Jerman,"Kimia, Fisika, Bahasa Inggris","Renang, Futsal"
Jawa Barat,SMK Teknologi Surabaya,Sleman,Health Professions,Screened,1174,67,87,43,69,57.0,367.0,Bahasa Arab,"Biologi, Ekonomi",Bulu Tangkis
Jawa Timur,SMA Negeri 5 Jakarta,Jakarta Selatan,Humanities & Interdisciplinary,Screened,604,0,97,0,96,80.0,1827.0,Bahasa Arab,Bahasa Inggris,Renang
Yogyakarta,SMA Negeri 2 Bandung,Bandung,Humanities & Interdisciplinary,Ed. Opt.,446,74,87,51,93,91.0,810.0,Bahasa Mandarin,Kimia,Futsal
Yogyakarta,SMK Informatika Nusantara,Surabaya,Humanities & Interdisciplinary,For Continuing 8th Graders,671,78,79,57,82,,,Bahasa Jerman,Kimia,"Basket, Renang"
Yogyakarta,SMA Negeri 3 Sleman,Surabaya,Science & Math,Ed. Opt.,483,79,87,52,80,,,Bahasa Jerman,"Kimia, Fisika",Renang
Jawa Timur,SMA Negeri 5 Jakarta,Sleman,Law & Government,Ed. Opt.,583,54,82,44,66,119.0,484.0,Bahasa Jepang,"Matematika Lanjutan, Biologi, Bahasa Inggris","Pencak Silat, Renang"
Jawa Timur,SMA Labschool Bandung,Bandung,Humanities & Interdisciplinary,Screened,402,92,89,63,91,85.0,1354.0,Bahasa Jerman,Fisika,Renang
Jawa Timur,SMA Labschool Bandung,Jakarta Selatan,Science & Math,Ed. Opt.,682,89,88,69,92,64.0,1572.0,Bahasa Mandarin,Biologi,"Futsal, Basket"
Jawa Timur,SMA Negeri 5 Jakarta,Surabaya,Computer Science & Technology,Ed. Opt.,872,78,85,61,72,79.0,586.0,Bahasa Jepang,"Kimia, Bahasa Inggris, Fisika","Basket, Pencak Silat"
DKI Jakarta,SMA Negeri 5 Jakarta,Jakarta Selatan,Zoned,Zoned Priority,1091,86,92,71,92,,,Bahasa Inggris,Fisika,"Pencak Silat, Bulu Tangkis"
Jawa Barat,SMA Labschool Bandung,Bandung,Humanities & Interdisciplinary,Ed. Opt.,703,79,79,54,90,67.0,429.0,Bahasa Inggris,"Bahasa Inggris, Ekonomi",Renang
Yogyakarta,SMK Teknologi Surabaya,Denpasar,Computer Science & Technology,Ed. Opt.,888,93,89,73,87,33.0,476.0,Bahasa Jerman,Fisika,"Renang, Futsal"
